SKU,BinWeight,ItemWeight
cab-5.0JD-ge,11.341,0.14038
cab-6.0LAB-ge,11.281,0.18217
cab-6.0LPS-ge,11.325,0.12247
cab-3.0LPS-ge,11.357,0.0279
cab-4.0LAB-ge,11.297,0.05763
cab-3.5LAB-ge,11.341,0.03447
